country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Lesotho,2020,LSO,2254104,,,,,,0,0,0,,20,,,,,0,0,,,,,0,,1.04,0.5,,-3.181,-0.155,2092.531,,,,0,0,,,0,,,,,0,0,,,,,,0,,0.01,,,,221.818,0.5,,100,,,,,221.818,0.5,,100,,0.54,51.923,,,,0,0,,0,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,221.818,4.717,,,,221.818,0.5,,100,,,,,0,0,,0,,,,,0,0,,0,
Lesotho,2021,LSO,2281464,,,,,,0,0,0,,20,,,,,0,0,,,,,0,,1.03,0.5,,3.162,0.149,2132.814,,,,0,0,,,0,,,,,0,0,,,,,,0,,0.01,,,,219.158,0.5,,100,,,,,219.158,0.5,,100,,0.53,51.456,,,,0,0,,0,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,219.158,4.866,,,,219.158,0.5,,100,,,,,0,0,,0,,,,,0,0,,0,
Liberia,2020,LBR,5087591,,,,,,0,0,0,,292.135,,,,,0,0,,,,,0,,0.89,0.89,,-4.51,-0.248,1030.046,,,,70.76,0.36,,,40.449,,,,,0,0,,,,,,0,,0.26,,,,104.175,0.53,,59.551,,,,,104.175,0.53,,59.551,,0,0,,,,0,0,,0,,,,,70.76,0.36,,,,,,40.449,,,0,0,,,0,0,,0,0,,174.935,5.24,,,,104.175,0.53,,59.551,,,,,0,0,,0,,,,,0,0,,0,
Liberia,2021,LBR,5193422,,,,,,0,0,0,,304.348,,,,,0,0,,,,,0,,0.92,0.92,,5.506,0.289,1064.616,,,,75.095,0.39,,,42.391,,,,,0,0,,,,,,0,,0.28,,,,102.052,0.53,,57.609,,,,,102.052,0.53,,57.609,,0,0,,,,0,0,,0,,,,,75.095,0.39,,,,,,42.391,,,0,0,,,0,0,,0,0,,177.147,5.529,,,,102.052,0.53,,57.609,,,,,0,0,,0,,,,,0,0,,0,
Libya,2020,LBY,6653946,,,,,,0,0,0,,549.502,,,,,0,0,,,,,0,,31.36,30.1,,-12.421,-26.455,28032.594,,,,4522.129,30.09,,,99.967,,,,,3237.177,21.54,,-8.384,-11.302,18560.414,123.5,71.561,,16.54,,,,0,0,,0,,,,,1.503,0.01,,0.033,,1.26,4.018,,,,0,0,,0,,,,,1284.952,8.55,,-65.39,-439.65,34971.539,232.699,28.405,,,0,0,,,0,0,,0,0,,4523.632,186.527,,,,1.503,0.01,,0.033,,,,,1.503,0.01,,0.033,,,,,0,0,,0,
Libya,2021,LBY,6735280,,,,,,0,0,0,,550.422,,,,,0,0,,,,,0,,33.38,32.03,,2.081,3.881,28270.334,,,,4754.071,32.02,,,99.969,,,,,3379.221,22.76,,17.2,21.242,21490.121,144.742,71.058,,17.63,,,,0,0,,0,,,,,1.485,0.01,,0.031,,1.35,4.044,,,,0,0,,0,,,,,1374.85,9.26,,198.122,461.028,102998.93,693.727,28.91,,,0,0,,,0,0,,0,0,,4755.556,190.409,,,,1.485,0.01,,0.031,,,,,1.485,0.01,,0.031,,,,,0,0,,0,
Libya,2022,LBY,6812344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,3.488,21758.996,148.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.471,-100.388,87097.531,593.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,2020,LTU,2820269,,4.812,0.055,423.73,1.195,209.2,0.59,13.024,1.7,262.693,-21.965,-0.507,638.764,1.801,0,0,,,,,0,2.563,12.44,4.53,6.444,-0.806,-0.571,24924.742,,-1.462,-0.92,694.969,1.96,21983.818,62,43.267,88.201,9.426,2.033,23.605,602.779,1.7,8369.712,,,,,37.528,33.58,1.19,-12.999,-0.121,0.789,106.373,0.3,279.831,6.623,1.123,4.457,0.349,8.294,911.261,2.57,2940.926,56.733,11.799,7.91,63.585,,0,0,0,0,0,0,0,-6.266,-2.446,36.594,92.19,0.26,12975.343,,,,,5.74,52.058,1.896,0.59,0,11.422,0.194,209.2,0,672.45,13.024,0,2.698,1606.23,70.294,4.457,0.349,8.294,911.261,2.57,2940.926,56.733,11.799,41.383,0.098,0.338,46.095,0.13,119.941,2.87,0.481,3.488,0.123,4.075,549.593,1.55,1444.973,34.216,5.797
Lithuania,2021,LTU,2786652,,23.281,0.278,528.679,1.473,247.609,0.69,16.547,2.1,244.604,19.819,0.357,774.595,2.159,0,0,,,,,0,3.077,13.21,4.17,5.944,-0.206,-0.145,25173.395,,-0.933,-0.579,556.223,1.55,22041.352,61.422,37.17,87.558,-5.605,-1.323,22.282,437.801,1.22,7995.917,,,,,29.257,31.763,1.02,27.687,0.215,1.004,136.364,0.38,360.296,9.113,1.431,8.615,0.434,8.728,940.196,2.62,3132.042,62.83,12.442,9.04,68.433,,0,0,0,0,0,0,0,1.058,0.387,36.981,118.422,0.33,13270.84,,,,,7.914,52.718,2.188,0.69,0,15.385,0.292,247.609,0,785.263,16.547,0,3.119,1496.419,70.149,8.615,0.434,8.728,940.196,2.62,3132.042,62.83,12.442,48.137,0.161,0.499,68.182,0.19,179.162,4.556,0.712,-12.245,-0.512,3.563,488.041,1.36,1278.641,32.614,5.079
Lithuania,2022,LTU,2750058,,-10.081,-0.149,481.711,1.325,236.359,0.65,15.588,2.081,194.245,3.486,0.075,812.267,2.234,0,0,,,,,0,3.509,12.74,4.17,6.55,-9.241,-6.483,23151.053,,-9.29,-5.706,381.81,1.05,20259.76,55.716,25.18,87.511,-27.861,-6.208,16.074,221.814,0.61,5844.902,,,,,14.628,25.247,0.81,21.629,0.213,1.217,163.633,0.45,442.436,10.791,1.911,-7.176,-0.777,7.951,1134.521,3.12,2891.293,74.82,12.489,8.57,67.268,,0,0,0,0,0,0,0,1.154,0.427,37.408,159.997,0.44,13602.591,,,,,10.552,58.756,0.929,0.65,0,-57.533,-1.259,236.359,0,337.918,15.588,0,1.46,1516.332,63.667,-7.176,-0.777,7.951,1134.521,3.12,2891.293,74.82,12.489,8.163,0.039,0.538,156.36,0.43,195.65,10.312,0.845,11.05,0.379,3.942,578.17,1.59,1433.578,38.129,6.192
Luxembourg,2020,LUX,630401,,9.58,0.143,2588.512,1.632,586.928,0.37,30.328,4.029,196.721,-15.988,-0.085,709.2,0.447,0,0,,,,,0,1.104,6.68,1.22,3.012,-14.359,-6.79,64241.789,,-17.115,-7.453,396.573,0.25,57251.797,36.092,20.492,89.119,-9.179,-0.73,7.225,285.533,0.18,11461.532,,,,,14.754,17.841,0.24,-14.323,-0.041,0.241,142.766,0.09,381.62,7.377,0.594,14.097,0.663,4.406,1538.703,0.97,6989.995,79.508,10.881,5.46,81.737,,0,0,0,0,0,0,0,-18.933,-6.637,28.419,111.04,0.07,45081.062,,,,,5.738,70.174,1.188,0.37,0,33.855,0.301,586.928,0,1885.19,30.328,0,2.935,1935.276,40.498,14.097,0.663,4.406,1538.703,0.97,6989.995,79.508,10.881,23.681,0.08,0.424,253.807,0.16,671.823,13.115,1.046,24.833,0.181,0.922,555.202,0.35,1462.85,28.689,2.277
